timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1656434171504,355,HTTP Request,200,OK,Thread Group Start 1-28,text,true,,182,180,101,101,http://localhost:5165/api/authentication/entermarket,342,0,1
1656434171542,315,HTTP Request,200,OK,Thread Group Start 1-37,text,true,,182,180,101,101,http://localhost:5165/api/authentication/entermarket,303,0,1
1656434171809,48,HTTP Request,200,OK,Thread Group Start 1-96,text,true,,182,180,101,101,http://localhost:5165/api/authentication/entermarket,37,0,2
1656434171431,428,HTTP Request,200,OK,Thread Group Start 1-17,text,true,,181,180,101,101,http://localhost:5165/api/authentication/entermarket,415,0,40
1656434171896,3,HTTP Request,200,OK,Thread Group Start 1-105,text,true,,183,180,105,105,http://localhost:5165/api/authentication/entermarket,3,0,1
1656434171889,2,HTTP Request,200,OK,Thread Group Start 1-104,text,true,,183,180,104,104,http://localhost:5165/api/authentication/entermarket,2,0,1
1656434171794,63,HTTP Request,200,OK,Thread Group Start 1-93,text,true,,182,180,101,101,http://localhost:5165/api/authentication/entermarket,51,0,2
1656434171547,310,HTTP Request,200,OK,Thread Group Start 1-38,text,true,,182,180,101,101,http://localhost:5165/api/authentication/entermarket,298,0,1
1656434171431,428,HTTP Request,200,OK,Thread Group Start 1-10,text,true,,182,180,101,101,http://localhost:5165/api/authentication/entermarket,415,0,40
1656434171684,174,HTTP Request,200,OK,Thread Group Start 1-70,text,true,,182,180,101,101,http://localhost:5165/api/authentication/entermarket,161,0,2
1656434171479,380,HTTP Request,200,OK,Thread Group Start 1-22,text,true,,182,180,101,101,http://localhost:5165/api/authentication/entermarket,367,0,1
1656434171457,401,HTTP Request,200,OK,Thread Group Start 1-19,text,true,,182,180,101,101,http://localhost:5165/api/authentication/entermarket,389,0,13
1656434171538,319,HTTP Request,200,OK,Thread Group Start 1-36,text,true,,182,180,101,101,http://localhost:5165/api/authentication/entermarket,307,0,1
1656434171743,116,HTTP Request,200,OK,Thread Group Start 1-83,text,true,,182,180,101,101,http://localhost:5165/api/authentication/entermarket,103,0,1
1656434171625,234,HTTP Request,200,OK,Thread Group Start 1-57,text,true,,182,180,101,101,http://localhost:5165/api/authentication/entermarket,221,0,1
1656434171443,416,HTTP Request,200,OK,Thread Group Start 1-18,text,true,,182,180,101,101,http://localhost:5165/api/authentication/entermarket,403,0,28
1656434171585,272,HTTP Request,200,OK,Thread Group Start 1-46,text,true,,182,180,101,101,http://localhost:5165/api/authentication/entermarket,260,0,2
1656434171712,146,HTTP Request,200,OK,Thread Group Start 1-75,text,true,,182,180,101,101,http://localhost:5165/api/authentication/entermarket,133,0,1
1656434171433,424,HTTP Request,200,OK,Thread Group Start 1-11,text,true,,182,180,101,101,http://localhost:5165/api/authentication/entermarket,412,0,38
1656434171430,428,HTTP Request,200,OK,Thread Group Start 1-6,text,true,,181,180,101,101,http://localhost:5165/api/authentication/entermarket,415,0,39
1656434171735,122,HTTP Request,200,OK,Thread Group Start 1-81,text,true,,182,180,101,101,http://localhost:5165/api/authentication/entermarket,111,0,1
1656434171724,133,HTTP Request,200,OK,Thread Group Start 1-78,text,true,,182,180,101,101,http://localhost:5165/api/authentication/entermarket,121,0,1
1656434171817,42,HTTP Request,200,OK,Thread Group Start 1-98,text,true,,182,180,101,101,http://localhost:5165/api/authentication/entermarket,29,0,1
1656434171776,83,HTTP Request,200,OK,Thread Group Start 1-90,text,true,,182,180,101,101,http://localhost:5165/api/authentication/entermarket,70,0,3
1656434171768,89,HTTP Request,200,OK,Thread Group Start 1-88,text,true,,182,180,101,101,http://localhost:5165/api/authentication/entermarket,78,0,1
1656434171639,219,HTTP Request,200,OK,Thread Group Start 1-60,text,true,,182,180,101,101,http://localhost:5165/api/authentication/entermarket,206,0,1
1656434171929,3,HTTP Request,200,OK,Thread Group Start 1-107,text,true,,183,180,107,107,http://localhost:5165/api/authentication/entermarket,3,0,2
1656434171703,154,HTTP Request,200,OK,Thread Group Start 1-73,text,true,,182,180,101,101,http://localhost:5165/api/authentication/entermarket,142,0,2
1656434171781,76,HTTP Request,200,OK,Thread Group Start 1-91,text,true,,182,180,101,101,http://localhost:5165/api/authentication/entermarket,64,0,3
1656434171431,427,HTTP Request,200,OK,Thread Group Start 1-5,text,true,,182,180,101,101,http://localhost:5165/api/authentication/entermarket,414,0,39
1656434171689,169,HTTP Request,200,OK,Thread Group Start 1-71,text,true,,182,180,101,101,http://localhost:5165/api/authentication/entermarket,156,0,2
1656434171508,349,HTTP Request,200,OK,Thread Group Start 1-29,text,true,,182,180,101,101,http://localhost:5165/api/authentication/entermarket,337,0,1
1656434171511,346,HTTP Request,200,OK,Thread Group Start 1-30,text,true,,182,180,101,101,http://localhost:5165/api/authentication/entermarket,334,0,2
1656434171595,263,HTTP Request,200,OK,Thread Group Start 1-49,text,true,,182,180,101,101,http://localhost:5165/api/authentication/entermarket,250,0,1
1656434171431,426,HTTP Request,200,OK,Thread Group Start 1-12,text,true,,182,180,101,101,http://localhost:5165/api/authentication/entermarket,415,0,40
1656434171856,9,HTTP Request,200,OK,Thread Group Start 1-101,text,true,,183,180,102,102,http://localhost:5165/api/authentication/entermarket,9,0,3
1656434171699,158,HTTP Request,200,OK,Thread Group Start 1-72,text,true,,182,180,101,101,http://localhost:5165/api/authentication/entermarket,146,0,2
1656434171657,201,HTTP Request,200,OK,Thread Group Start 1-64,text,true,,182,180,101,101,http://localhost:5165/api/authentication/entermarket,188,0,2
1656434171802,55,HTTP Request,200,OK,Thread Group Start 1-94,text,true,,182,180,101,101,http://localhost:5165/api/authentication/entermarket,43,0,2
1656434171675,183,HTTP Request,200,OK,Thread Group Start 1-68,text,true,,182,180,101,101,http://localhost:5165/api/authentication/entermarket,170,0,1
1656434171524,333,HTTP Request,200,OK,Thread Group Start 1-33,text,true,,182,180,101,101,http://localhost:5165/api/authentication/entermarket,321,0,1
1656434171431,427,HTTP Request,200,OK,Thread Group Start 1-14,text,true,,181,180,101,101,http://localhost:5165/api/authentication/entermarket,414,0,39
1656434171430,427,HTTP Request,200,OK,Thread Group Start 1-7,text,true,,182,180,101,101,http://localhost:5165/api/authentication/entermarket,415,0,40
